Nom_echantillon_adapted;Ecotype_Silene_nutans_Martin_2017;Collection_ID;GPS_latitude_dec;GPS.longitude.dec;Location_region
1014;Orange;1014;49.340556;-1.941389;Manche_France
1322_Hamon;Orange;1322;50.4267955;5.5315795;Belgique
1322_LEFFE1;Bleu;1322;50.26753;4.90749;Belgique
1322_LEFFE2;Bleu;1322;50.26753;4.90749;Belgique
1322_LEFFE3;Bleu;1322;50.26753;4.90749;Belgique
1322_NAJ1;Orange;1322;50.09447;4.69118;Belgique
1322_NAJ2;Orange;1322;50.09447;4.69118;Belgique
1322_NAJ3;Orange;1322;50.09447;4.69118;Belgique
1322_NAJ4;Orange;1322;50.09447;4.69118;Belgique
1322_OLL1;Orange;1322;50.0720497;4.607452;Belgique
1322_OLL2;Orange;1322;50.0720497;4.607452;Belgique
1322_OLL3;Orange;1322;50.0720497;4.607452;Belgique
1322_OLL4;Orange;1322;50.0720497;4.607452;Belgique
1322_TOMB1;Orange;1322;50.2913065;5.3381944;Belgique
1322_TOMB2;Orange;1322;50.2913065;5.3381944;Belgique
1322_TOMB3;Orange;1322;50.2913065;5.3381944;Belgique
1345;Orange;1345;47.5874248;-3.069657;Bretagne_France
1409_01;Orange;1409;47.587261;-3.061256;Bretagne_France
1409_2;Orange;1409;47.587261;-3.061256;Bretagne_France
1409_3;Orange;1409;47.587261;-3.061256;Bretagne_France
1409_4;Orange;1409;47.587261;-3.061256;Bretagne_France
1409_5;Orange;1409;47.587261;-3.061256;Bretagne_France
1409_6;Orange;1409;47.587261;-3.061256;Bretagne_France
1409_7;Orange;1409;47.587261;-3.061256;Bretagne_France
1409_8;Orange;1409;47.587261;-3.061256;Bretagne_France
1410;Orange;1410;50.0720497;4.607452;Belgique
1435;Bleu;1435;44.1177296;7.9538378;Italy
1437;Jaune;1437;44.1586162;7.2761796;Italy
1470_1;Orange;1470;44.305111;3.773011;Cevennes_Ardêëche
1470_2;Orange;1470;44.305111;3.773011;Cevennes_Ardêëche
1472_1_1;Orange;1472;44.383774;3.675172;Cevennes_Ardêëche
1472_1_2;Orange;1472;44.383774;3.675172;Cevennes_Ardêëche
1472_2;Orange;1472;44.383774;3.675172;Cevennes_Ardêëche
1472_3;Orange;1472;44.383774;3.675172;Cevennes_Ardêëche
1532;Orange;1532;50.932673;0.963637;Grande_Bretagne
1546r;Orange;1546;44.841517;4.214517;Cevennes_Ardêëche
1547r;Jaune;1547;45.6856698;6.6301067;Alpes_France
1548r;Bleu;1548;51.755806;12.595917;Allemagne
303_1;Rouge;303;42.8252835;0.1617882;Pyrenees
303_2;Rouge;303;42.8252835;0.1617882;Pyrenees
303_3;Rouge;303;42.8252835;0.1617882;Pyrenees
422_11;Jaune;422;46.4201048;7.8199932;Suisse
423_63;Jaune;423;46.423642;7.821619;Suisse
429_21;Jaune;429;46.739789;8.383931;Suisse
436_1;Jaune;436;46.8027453;9.8359701;Suisse
436_2;Jaune;436;46.8027453;9.8359701;Suisse
436_3;Jaune;436;46.8027453;9.8359701;Suisse
436_4;Jaune;436;46.8027453;9.8359701;Suisse
510_2_1;Orange-brown;510;50.651814;1.56905;Nord_France
510_3_4;Orange-brown;510;50.651814;1.56905;Nord_France
510_4_1;Orange-brown;510;50.651814;1.56905;Nord_France
510_5;Orange-brown;510;50.651814;1.56905;Nord_France
510_5_2;Orange-brown;510;50.651814;1.56905;Nord_France
510_7_1;Orange-brown;510;50.651814;1.56905;Nord_France
510_8;Orange-brown;510;50.651814;1.56905;Nord_France
511_1;Orange-brown;511;50.651689;1.583914;Nord_France
511_11;Orange-brown;511;50.651689;1.583914;Nord_France
511_12;Orange-brown;511;50.651689;1.583914;Nord_France
511_13;Orange-brown;511;50.651689;1.583914;Nord_France
511_3;Orange-brown;511;50.651689;1.583914;Nord_France
511_4;Orange-brown;511;50.651689;1.583914;Nord_France
511_7;Orange-brown;511;50.651689;1.583914;Nord_France
512_1;Orange-brown;512;50.651686;1.584553;Nord_France
512_3;Orange-brown;512;50.651686;1.584553;Nord_France
512_4;Orange-brown;512;50.651686;1.584553;Nord_France
512_5;Orange-brown;512;50.651686;1.584553;Nord_France
512_6;Orange-brown;512;50.651686;1.584553;Nord_France
512_7;Orange-brown;512;50.651686;1.584553;Nord_France
513_2;Orange-brown;513;50.651456;1.583619;Nord_France
513_3;Orange-brown;513;50.651456;1.583619;Nord_France
513_4;Orange-brown;513;50.651456;1.583619;Nord_France
513_5;Orange-brown;513;50.651456;1.583619;Nord_France
513_6;Orange-brown;513;50.651456;1.583619;Nord_France
513_7;Orange-brown;513;50.651456;1.583619;Nord_France
513_8b;Orange-brown;513;50.651456;1.583619;Nord_France
705_1;Orange-brown;705;50.651886;1.583994;Nord_France
705_2;Orange-brown;705;50.651886;1.583994;Nord_France
705_3;Orange-brown;705;50.651886;1.583994;Nord_France
705_4;Orange-brown;705;50.651886;1.583994;Nord_France
705_5;Orange-brown;705;50.651886;1.583994;Nord_France
706_1B;Orange-brown;706;50.651881;1.583928;Nord_France
706_2;Orange-brown;706;50.651881;1.583928;Nord_France
706_3;Orange-brown;706;50.651881;1.583928;Nord_France
706_4A;Orange-brown;706;50.651881;1.583928;Nord_France
706_4B;Orange-brown;706;50.651881;1.583928;Nord_France
706_5;Orange-brown;706;50.651881;1.583928;Nord_France
706_6A;Orange-brown;706;50.651881;1.583928;Nord_France
706_6B;Orange-brown;706;50.651881;1.583928;Nord_France
706_7;Orange-brown;706;50.651881;1.583928;Nord_France
70_01;Jaune;70;46.3120223;7.7127724;Suisse
70_02;Jaune;70;46.3120223;7.7127724;Suisse
719_1;Orange-brown;719;50.65175;1.583553;Nord_France
719_3;Orange-brown;719;50.65175;1.583553;Nord_France
87_31;Jaune;87;46.887619;9.657;Suisse
87_35;Jaune;87;46.887619;9.657;Suisse
87_41;Jaune;87;46.887619;9.657;Suisse
87_42;Jaune;87;46.887619;9.657;Suisse
87_43;Jaune;87;46.887619;9.657;Suisse
87_44;Jaune;87;46.887619;9.657;Suisse
903;Bleu;903;59.9075745;10.686436;Norvêëge
921_1;Bleu;921;59.8946842;10.7376119;Norvêëge
921_2;Bleu;921;59.8946842;10.7376119;Norvêëge
922_1;Bleu;922;59.9075745;10.686436;Norvêëge
922_2;Bleu;922;59.9075745;10.686436;Norvêëge
922_3;Bleu;922;59.9075745;10.686436;Norvêëge
922_4;Bleu;922;59.9075745;10.686436;Norvêëge
922_5;Bleu;922;59.9075745;10.686436;Norvêëge
922_6;Bleu;922;59.9075745;10.686436;Norvêëge
923_1;Bleu;923;59.9075745;10.686436;Norvêëge
923_2;Bleu;923;59.9075745;10.686436;Norvêëge
