Tribe 	Species 	Mass_(kg) 	Group_size 	Diet_class 	Antipredator_class
Bovini  	Syncerus caffer (forest)  	300  	20 	e  	A
Bovini  	Syncerus caffer (plains)  	620  	50 	e  	A
Tragelaphini  	Tragelaphus euryceros 	245  	6 	c  	B
Tragelaphini  	Tragelaphus scriptus 	64  	2 	c  	B
Tragelaphini  	Tragelaphus spekei 	80  	2 	b  	B
Tragelaphini  	Tragelaphus imberbis 	82  	5 	b  	B
Tragelaphini  	Tragelaphus angasi 	85  	4 	c  	B
Tragelaphini  	Tragelaphus strepsiceros 	230  	16 	c  	B
Tragelaphini  	Taurotragus derbianus 	580	20 	e	A
Tragelaphini  	Taurotragus oryx 	475  	45 	e  	A
Tragelaphini  	Tragelaphus buxtoni 	205 	8 	c 	B
Neotragini  	Oreotragus oreotragus 	16  	2 	a  	B
Neotragini  	Madoqua kirki 	5  	2 	a  	B
Neotragini  	Madoqua saltiana 	4	2 	a	B
Neotragini  	Madoqua guentheri 	4	2 	a	B
Neotragini  	Raphicerus sharpie 	9	1 	a	B
Neotragini  	Raphicerus melanotis 	11	1 	a	B
Neotragini  	Raphicerus campestris 	14  	1.5 	a  	B
Neotragini  	Neotragus pygmaeus 	4	1.5 	a	B
Neotragini  	Neotragus batesi 	5	1.5 	a	B
Neotragini  	Nesotragus moschatus 	8	1.5 	a	B
Neotragini  	Dorcatragus megalotis 	12	5 	a	B
Neotragini  	Ourebia ourebi 	16  	3 	b  	B
Antilopini  	Gazella leptoceros 	18	6 	c	A
Antilopini  	Gazella granti 	55  	10 	c  	A
Antilopini  	Gazella thomsoni 	22  	28 	c  	A
Antilopini  	Gazella spekei 	19	8 	c	A
Antilopini  	Gazella rufifrons 	28 	5 	c 	A
Antilopini  	Gazella dorcas 	21	17 	c	A
Antilopini  	Gazella pelzeni 	18 	7 	c 	A
Antilopini  	Gazella soemmeringi 	42 	7  	c 	A
Antilopini  	Gazella dama 	70 	6  	c 	A
Antilopini  	Antidorcas marsupialis 	30  	24  	c  	A
Antilopini  	Ammodorcas clarkei 	30 	3 	b 	A
Antilopini  	Litocranius walleri 	42  	3  	b  	A
Hippotragini  	Oryx dammah 	178  	12 	e  	A
Hippotragini  	Oryx gazella 	205  	14  	e  	A
Hippotragini  	Oryx beisa 	168 	23 	e 	A
Hippotragini  	Addax nasomaculatus 	90 	20 	e 	A
Hippotragini  	Hippotragus niger 	228  	20  	c  	A
Hippotragini  	Hippotragus equinas 	270  	13  	c  	A
Alcelaphini  	Damaliscus dorcas 	69  	8  	d  	A
Alcelaphini  	Damaliscus lunatus 	132  	6  	d  	A
Alcelaphini  	Damaliscus korrigum 	114 	23 	d 	A
Alcelaphini  	Beatragus hunteri 	89 	18 	d 	A
Alcelaphini  	Alcelaphus buselaphus 	144  	10  	d  	A
Alcelaphini  	Alcelaphus caama 	142 	20 	d 	A
Alcelaphini  	Alcelaphus lichtensteini 	132 	10 	d 	A
Alcelaphini  	Connochaetes taurinus 	215  	15  	d  	A
Alcelaphini  	Connochaetes gnou 	145  	21  	d  	A
Aepycerotini  	Aepyceros melampus 	53  	20  	c  	A
Cephalophini  	Sylvicapra grimmia 	13  	2  	a  	B
Cephalophini  	Cephalophus monticola 	5  	2  	a  	B
Cephalophini  	Cephalophus natalensis 	14 	2 	a 	B
Cephalophini  	Cephalophus nigrifrons 	14  	1 	a 	B
Cephalophini  	Cephalophus rufilatus 	13 	1 	a 	B
Cephalophini  	Cephalophus zebra 	17 	1 	a 	B
Cephalophini  	Cephalophus leucogaster 	17  	1 	a 	B
Cephalophini  	Cephalophus jentinki 	66 	1 	a 	B
Cephalophini  	Cephalophus dorsalis 	22  	1 	a 	B
Cephalophini  	Cephalophus spadix 	56 	1 	a 	B
Cephalophini  	Cephalophus silvicultor 	68  	2 	a 	B
Cephalophini  	Cephalophus niger 	16 	1 	a 	B
Cephalophini  	Cephalophus ogilbyi 	20 	1 	a 	B
Cephalophini  	Cephalophus callipygus 	20  	1 	a 	B
Peleini  	Pelea capreolus 	25  	4  	b  	B
Reduncini  	Kobus megaceros 	84 	20 	c 	B
Reduncini  	Kobus leche 	94  	12  	c  	B
Reduncini  	Kobus ellipsiprymnus 	211  	8  	c  	B
Reduncini  	Kobus defassa 	214  	15  	c  	B
Reduncini  	Kobus kob 	79  	25  	c  	A
Reduncini  	Kobus vardoni 	71 	15 	c 	A
Reduncini  	Redunca fulvorufula 	30 	4 	b 	B
Reduncini  	Redunca arundinum 	58  	3  	b  	B
Reduncini  	Redunca redunca 	43  	4  	b  	B
