id genotype Temperature genT PREC pav_ab p_ga p_coeur p_foie p_sang p_plum
1 FF 32 FF32 153 2103 182.9 5.4 24.1 74 41
2 NN 32 ff32 146 1719 75 4.9 18 57 101
3 FN 32 fF32 146 2070 133.3 4.7 20 44 104
4 FN 32 fF32 146 1976 113.9 4.7 21.8 49 75
5 FF 32 FF32 141 1598 88.4 4.7 21.9 52 7
6 NN 32 ff32 145 2074 138.4 4.6 29.8 53 122
7 FN 32 fF32 142 2065 162 4.1 37.7 36 112
8 FF 32 FF32 145 1787 125.2 5 24.6 63 31
9 NN 32 ff32 158 2114 118.5 5.2 45.6 48 105
10 FN 32 fF32 149 2218 148 5.2 57.2 67 81
11 FF 32 FF32 147 1744 133.4 4.8 25.5 47 25
12 NN 32 ff32 145 1842 98.9 4.1 34.7 48 82
13 FN 32 fF32 149 1555 53.1 4.5 17 45 96
14 NN 32 ff32 150 1751 94.5 4.8 20.4 59 99
15 FF 32 FF32 148 2049 207.5 5.7 29 70 33
16 FN 32 fF32 147 2401 173.3 4 48.7 49 137
17 NN 32 ff32 142 2409 195.3 4.8 66 61 115
18 FF 32 FF32 146 2083 160.6 4.9 47.7 56 29
19 FF 22 FF22 145 1559 74.6 5.8 26.2 68 22
20 NN 22 ff22 144 2567 148.9 4.8 34.3 74 100
21 FN 22 fF22 151 2391 134.3 4.9 24.7 68 94
22 FN 22 fF22 148 2063 139 5.5 20.9 63 77
23 FF 22 FF22 140 1612 64.1 6.4 28 51 12
24 NN 22 ff22 143 1963 111.1 4.5 24.7 56 97
25 FF 22 FF22 147 1662 73.9 5.3 29.8 59 31
26 FN 22 fF22 150 3135 330.3 6.6 84.6 92 84
27 NN 22 ff22 144 2440 172 5.4 35.7 79 101
28 FF 22 FF22 146 1926 94.8 6.6 28 62 32
29 NN 22 ff22 153 2472 173.1 5.1 55 72 97
30 FN 22 fF22 143 2505 207.8 5.5 68.6 69 84
31 NN 22 ff22 145 2162 152.8 5.6 42.2 70 94
32 FN 22 fF22 154 2350 211 4.6 43.3 50 83
33 FN 22 fF22 143 1885 98.1 4.6 21.6 49 96
34 FF 22 FF22 147 1950 162.1 6.2 31.7 74 31
35 NN 22 ff22 152 2196 172.4 4.8 28.1 44 84
36 FF 22 FF22 146 2090 90.3 7 32.4 73 37
37 FN 32 fF32 147 1994 134.1 3.3 17.3 49 150
38 FF 32 FF32 146 1937 101.7 4.8 24.5 61 28
39 NN 32 ff32 146 1801 133.1 4 22.2 48 129
40 FN 32 fF32 145 1930 120.5 5.9 23.7 69 78
41 NN 32 ff32 145 2598 252.9 5.8 52.4 59 115
42 FF 32 FF32 140 2104 182.7 4.8 21 58 21
43 FF 32 FF32 155 1954 111.6 4.9 20.5 66 34
44 FN 32 fF32 143 1636 55.4 4.1 17.9 61 68
45 NN 32 ff32 157 2040 100.1 4.5 20 59 115
46 FF 32 FF32 150 2060 185 6.2 25.7 72 35
47 FN 32 fF32 141 2263 157.6 5.3 20.6 76 108
48 NN 32 ff32 154 1515 90 4.5 16.2 61 106
49 NN 32 ff32 139 2362 214.5 6.2 40.2 64 97
50 FN 32 fF32 143 2077 177 4.6 41.5 62 93
51 FF 32 FF32 154 2317 162.4 6.7 27.5 68 28
52 NN 22 ff22 148 2240 165.3 5.2 23.9 58 102
53 FN 22 fF22 146 2421 189.8 4.9 27.6 65 68
54 FF 22 FF22 142 1733 68.8 5.3 24.6 51 18
55 FN 22 fF22 141 1928 126.6 4.4 59.6 56 55
56 FF 22 FF22 142 2167 173.2 5.9 30.9 80 14
57 NN 22 ff22 142 2289 156.5 5.5 43 59 102
58 FF 22 FF22 148 1905 111.5 6 27.3 69 18
59 FN 22 fF22 160 2301 130 5.4 36.4 61 73
60 NN 22 ff22 144 1642 62.3 4.8 20.6 62 91
61 FF 22 FF22 135 1852 156.1 5.6 30.9 70 30
62 FN 22 fF22 147 2715 299 5.9 65.8 63 73
63 FF 22 FF22 152 2050 141.7 6.1 36 87 23
64 NN 22 ff22 149 2200 149.1 5.1 26.1 56 112
65 FN 22 fF22 146 2827 282.9 6.5 42.7 68 88
66 NN 22 ff22 146 2109 96.1 5 24.1 82 113
67 NN 22 ff22 145 2287 147.6 5.5 61.1 59 101
68 FF 22 FF22 155 2165 142 7.5 30.3 75 23
69 FN 22 fF22 136 2010 145.9 5.4 35.8 53 60
70 FF 22 FF22 150 2149 147.5 6.4 28.6 79 15
71 NN 22 ff22 149 2182 204.3 6.3 35.2 69 90
72 FN 22 fF22 141 2333 174.9 5.8 46 58 76
73 NN 32 ff32 155 1918 128.8 4.6 21.1 57 119
74 FN 32 fF32 152 1816 123.7 4.3 27 46 71
75 FF 32 FF32 152 1786 125.8 5 26 60 31
76 FF 32 FF32 151 1575 78.4 5.1 20.3 59 19
77 FN 32 fF32 150 1694 167.2 5.3 16.1 40 118
78 NN 32 ff32 152 1746 107 3.7 42.5 45 89
79 NN 32 ff32 148 1979 173.4 4.5 36.8 46 87
80 FF 32 FF32 147 2061 160.4 6.1 34 65 30
81 FN 32 fF32 152 1871 133 4 30.1 44 72
82 NN 32 ff32 142 1834 136.1 3.1 26.7 31 95
83 FF 32 FF32 149 1545 93.8 4.1 20.7 51 7
84 NN 32 ff32 146 2264 148.4 5.7 36.6 49 105
85 FN 32 fF32 146 1990 140.3 4.9 26.2 43 112
86 FF 32 FF32 149 1691 132.8 4.7 29.7 52 8
87 FN 32 fF32 148 2444 189.5 5.6 27 63 95
88 FN 32 fF32 151 2176 154.3 5 32.4 32 118
89 NN 32 ff32 157 2116 169.8 4.3 27.9 57 108
90 FF 32 FF32 148 2308 163.9 6.7 33.4 72 16
91 NN 22 ff22 143 2021 143.9 5.3 24.3 51 87
92 FN 22 fF22 145 1997 126.4 5.3 25.7 44 85
93 FN 22 fF22 152 1850 74.6 5.1 23.8 67 106
94 FF 22 FF22 148 2020 115.7 7.5 32.2 49 24
95 NN 22 ff22 148 2143 101.7 7.5 31.9 69 96
96 FF 22 FF22 158 1588 62.9 6.4 26.5 51 19
97 FN 22 fF22 146 2210 171.5 4.7 26.4 65 80
98 NN 22 ff22 144 2140 122.1 4.9 66.6 46 93
99 FF 22 FF22 145 2123 57.6 6.5 34.7 65 28
100 FN 22 fF22 149 2258 178.9 5.2 29.3 56 84
101 FF 22 FF22 148 1824 95.4 5.6 29.4 70 21
102 NN 22 ff22 148 2711 280.9 6.1 60.7 67 111
103 FF 22 FF22 149 2051 118.9 6.4 36.9 80 25
104 NN 22 ff22 139 2332 263.3 5.3 51 78 89
105 FN 22 fF22 160 2147 124.7 6.2 44.8 54 66
106 FF 22 FF22 153 1832 126.9 7.9 33.4 71 15
107 FN 22 fF22 154 2455 227.2 5.5 37.6 73 80
108 NN 22 ff22 150 2806 296.3 6.3 82.2 76 92
