"lundi00h" "lundi01h" "lundi02h" "lundi03h" "lundi04h" "lundi05h" "lundi06h" "lundi07h" "lundi08h" "lundi09h" "lundi10h" "lundi11h" "lundi12h" "lundi13h" "lundi14h" "lundi15h" "lundi16h" "lundi17h" "lundi18h" "lundi19h" "lundi20h" "lundi21h" "lundi22h" "lundi23h" "mardi00h" "mardi01h" "mardi02h" "mardi03h" "mardi04h" "mardi05h" "mardi06h" "mardi07h" "mardi08h" "mardi09h" "mardi10h" "mardi11h" "mardi12h" "mardi13h" "mardi14h" "mardi15h" "mardi16h" "mardi17h" "mardi18h" "mardi19h" "mardi20h" "mardi21h" "mardi22h" "mardi23h" "mercredi00h" "mercredi01h" "mercredi02h" "mercredi03h" "mercredi04h" "mercredi05h" "mercredi06h" "mercredi07h" "mercredi08h" "mercredi09h" "mercredi10h" "mercredi11h" "mercredi12h" "mercredi13h" "mercredi14h" "mercredi15h" "mercredi16h" "mercredi17h" "mercredi18h" "mercredi19h" "mercredi20h" "mercredi21h" "mercredi22h" "mercredi23h" "jeudi00h" "jeudi01h" "jeudi02h" "jeudi03h" "jeudi04h" "jeudi05h" "jeudi06h" "jeudi07h" "jeudi08h" "jeudi09h" "jeudi10h" "jeudi11h" "jeudi12h" "jeudi13h" "jeudi14h" "jeudi15h" "jeudi16h" "jeudi17h" "jeudi18h" "jeudi19h" "jeudi20h" "jeudi21h" "jeudi22h" "jeudi23h" "vendredi00h" "vendredi01h" "vendredi02h" "vendredi03h" "vendredi04h" "vendredi05h" "vendredi06h" "vendredi07h" "vendredi08h" "vendredi09h" "vendredi10h" "vendredi11h" "vendredi12h" "vendredi13h" "vendredi14h" "vendredi15h" "vendredi16h" "vendredi17h" "vendredi18h" "vendredi19h" "vendredi20h" "vendredi21h" "vendredi22h" "vendredi23h" "noms" "longitude" "latitude"
"19117" 1 1 2 1 1 1 1 1 3 0 0 0 0 0 0 0 1 3 3 7 11 12 14 11 11 15 16 16 16 16 16 16 15 3 0 0 1 3 3 1 0 1 5 4 4 6 17 12 8 6 13 15 16 16 16 15 14 5 0 0 0 0 0 1 4 0 3 14 28 27 27 21 9 8 13 16 14 14 14 13 14 1 2 2 2 3 6 6 1 1 3 9 21 27 22 19 12 15 16 14 17 16 18 16 19 1 1 1 1 4 5 2 0 1 3 12 25 23 26 28 " EURYALE DEHAYNIN" 2.37738886313363 48.8863000510864
"17111" 11 11 11 10 10 10 10 10 6 1 3 2 2 1 2 1 0 1 1 3 18 21 23 21 23 23 23 23 23 23 23 23 23 0 1 0 0 2 0 1 2 2 0 15 23 22 23 22 23 23 19 19 19 19 19 19 16 0 1 0 1 0 0 1 2 2 5 14 20 18 20 22 23 21 22 22 23 23 23 23 18 0 0 0 1 0 0 2 3 4 8 11 23 23 23 20 23 23 19 19 19 19 19 17 9 0 0 0 1 2 2 0 4 3 8 18 22 23 20 22 " LEMERCIER" 2.3175909298999 48.890020496141
"6103" 12 8 7 6 6 6 5 5 3 6 14 20 21 8 17 22 21 23 24 22 19 16 18 13 13 13 16 16 16 16 16 16 12 29 36 40 48 45 55 51 50 46 40 36 36 49 54 52 49 23 22 22 22 13 13 12 6 7 13 18 27 26 29 27 25 25 26 18 21 24 24 22 21 23 22 23 23 24 24 23 18 19 25 25 22 23 28 24 32 34 34 34 24 25 24 29 25 23 22 23 22 22 22 22 14 16 21 24 23 22 34 35 45 51 53 54 53 47 40 41 " MEZIERES RENNES" 2.33044682027725 48.8502970102176
"15042" 20 20 20 20 20 20 20 21 21 21 21 20 21 21 21 21 21 20 3 2 4 2 2 1 1 1 1 1 1 1 1 1 6 21 21 20 21 12 13 18 16 16 3 2 2 2 2 2 3 3 2 4 4 4 4 4 10 21 18 18 16 2 3 5 9 9 1 0 2 0 0 0 0 0 0 0 0 0 0 2 9 20 21 21 18 12 13 16 15 11 2 0 1 1 1 1 0 2 1 1 1 1 1 2 8 21 13 16 15 9 20 19 16 5 1 0 0 1 2 2 " FARMAN" 2.27139647246143 48.8337338301773
"12003" 64 56 51 50 50 50 50 50 52 67 69 69 42 38 45 49 49 42 31 22 16 22 23 18 21 19 23 21 17 17 17 17 19 40 58 56 51 43 52 63 63 65 62 52 49 45 42 43 41 35 30 27 25 24 19 19 18 37 54 56 54 46 44 47 54 53 45 37 36 36 33 23 17 10 4 4 5 4 4 4 7 27 50 46 46 41 49 49 48 47 46 46 35 45 44 46 41 33 29 26 18 19 17 19 15 33 57 57 55 54 59 64 64 52 47 39 26 32 41 49 " QUAI DE LA RAPEE" 2.36689679377372 48.8458869463868
"13038" 4 4 4 4 4 4 4 4 2 0 1 0 0 4 5 6 0 1 1 6 11 15 19 14 14 18 17 17 17 17 18 16 14 8 3 3 1 3 1 1 2 8 8 17 12 19 15 13 12 11 13 16 16 17 17 16 12 1 2 2 0 3 4 6 8 10 4 9 9 4 6 12 11 15 14 14 15 15 15 12 8 1 0 2 4 6 8 9 7 8 3 9 5 9 7 4 2 4 4 5 4 5 5 2 2 0 1 2 1 0 2 1 7 10 8 16 16 17 14 21 " CHOISY POINT D'IVRY" 2.36333471061476 48.8219079688117
"17041" 15 15 14 14 14 14 14 14 12 3 4 5 3 9 9 11 16 20 18 22 16 25 27 26 25 23 24 24 26 26 25 25 22 9 4 6 6 6 7 6 6 9 9 14 11 16 15 21 21 21 21 21 16 16 16 15 10 5 3 2 2 6 9 12 12 11 7 13 18 16 17 18 16 20 19 18 19 19 18 17 12 3 5 5 3 3 3 6 4 2 2 8 20 21 22 24 27 28 29 29 29 30 29 29 20 10 6 10 10 11 4 4 10 12 11 21 22 26 29 31 " PORTE DE VILLIERS" 2.28766737081487 48.882877751786
"41203" 14 15 17 17 17 17 17 17 10 1 0 0 0 2 0 1 2 2 0 14 23 25 30 31 33 35 35 36 38 39 39 38 35 20 7 3 1 2 0 1 1 0 7 13 24 28 33 36 38 37 38 38 38 38 37 37 24 5 0 0 0 0 2 2 4 2 7 15 22 27 29 34 37 40 40 40 41 41 40 40 30 15 9 6 4 6 4 2 1 2 9 16 17 20 22 24 29 35 35 35 35 35 34 32 19 6 1 2 0 2 1 0 0 0 5 5 14 11 19 20 " STALINGRAD (FONTENAY SOUS BOIS)" 2.45552917211114 48.8501252320561
"43401" 41 42 42 42 42 42 42 42 42 40 42 42 41 41 41 41 44 44 43 45 45 45 44 43 43 28 28 30 30 30 30 29 29 24 18 18 18 20 18 19 23 19 16 21 27 26 26 26 27 27 27 27 27 27 27 27 27 22 17 17 16 17 18 20 21 21 23 20 22 18 17 20 20 20 20 20 20 21 21 22 22 19 19 19 17 19 19 19 21 22 23 23 23 22 22 22 23 23 23 23 25 26 26 26 25 23 21 20 20 21 20 19 20 20 23 23 21 24 24 24 " GARE RER (JOINVILLE)" 2.46402550470253 48.819954101228
"5015" 57 62 62 62 62 61 62 61 61 60 62 63 60 63 58 63 63 61 62 60 57 63 60 61 63 62 62 63 63 63 62 61 58 47 57 61 61 58 61 59 61 59 48 40 21 24 31 35 36 40 42 42 43 43 44 44 39 23 29 27 28 26 21 19 25 24 14 4 2 1 6 13 15 20 18 20 20 20 21 21 17 7 19 24 26 25 20 13 16 18 0 2 2 7 10 12 9 12 13 14 13 13 14 16 9 5 6 8 8 20 21 21 20 16 10 0 0 3 7 13 " MOUFFETARD EPEE DE BOIS" 2.34998304702979 48.8415076373901
